soil_moisture,temperature,humidity,rainfall,crop,pump
50,11,64,6,cotton,0
65,30,84,7,tea,0
45,28,42,5,maize,0
33,23,61,7,tea,0
38,26,29,15,tea,0
31,33,31,9,wheat,0
20,14,60,3,maize,1
50,30,75,19,maize,0
58,31,97,5,maize,0
20,36,25,1,tea,1
61,17,56,6,cotton,0
76,29,45,2,maize,0
84,37,98,18,pulses,0
17,22,83,8,tea,0
40,28,21,0,wheat,0
83,37,20,11,cotton,0
15,32,22,18,pulses,0
80,10,22,18,pulses,0
22,27,48,3,wheat,1
15,12,41,18,cotton,0
76,23,33,7,tea,0
36,14,76,13,rice,0
54,19,82,10,cotton,0
35,13,95,11,wheat,0
13,21,99,2,pulses,1
46,39,64,10,tea,0
30,28,51,9,cotton,0
37,35,23,18,rice,0
41,13,25,19,rice,0
62,20,57,16,maize,0
42,35,41,5,maize,0
35,16,58,5,wheat,0
26,32,39,15,cotton,0
65,14,27,8,cotton,0
39,30,46,1,pulses,0
14,32,43,2,pulses,1
15,13,93,15,pulses,0
71,24,94,8,maize,0
19,36,84,17,cotton,0
79,26,95,11,cotton,0
19,29,29,9,rice,0
53,34,80,1,maize,0
65,25,89,9,tea,0
13,25,33,17,maize,0
22,19,81,8,tea,0
83,36,90,1,rice,0
89,39,31,18,wheat,0
28,37,91,4,cotton,1
79,38,32,0,rice,0
71,35,75,15,cotton,0
18,25,50,19,pulses,0
55,23,87,1,wheat,0
65,24,33,12,wheat,0
83,19,86,16,rice,0
49,11,56,12,wheat,0
76,10,84,15,tea,0
71,18,31,1,wheat,0
55,31,88,16,cotton,0
15,11,32,9,cotton,0
38,16,26,8,cotton,0
28,29,77,5,cotton,0
24,18,74,1,tea,1
66,36,69,16,maize,0
47,22,56,19,pulses,0
30,21,63,14,rice,0
60,39,30,14,cotton,0
48,15,28,16,wheat,0
29,16,30,19,cotton,0
11,28,63,6,wheat,0
41,39,90,15,pulses,0
13,24,51,10,pulses,0
16,15,40,11,pulses,0
12,26,90,17,wheat,0
34,14,61,12,cotton,0
18,19,43,5,pulses,0
35,24,46,3,tea,1
73,14,64,15,wheat,0
27,27,25,3,wheat,1
11,15,26,9,cotton,0
10,20,29,7,wheat,0
57,12,22,0,wheat,0
89,13,41,13,pulses,0
72,12,94,15,cotton,0
45,10,50,9,pulses,0
72,26,61,14,pulses,0
84,30,65,7,cotton,0
35,23,23,4,rice,1
15,35,85,17,pulses,0
35,31,66,12,tea,0
52,14,71,19,tea,0
10,37,55,1,wheat,1
18,23,22,4,tea,1
36,13,74,3,wheat,1
80,15,65,3,rice,0
12,18,93,8,cotton,0
70,29,93,11,cotton,0
82,23,30,18,cotton,0
